country,ceo,cfo,other,company,sector,action,no_action,website,twitter,twitter_handle,details
US,Bobby Kotick,Armin Zerza,-,Activision Blizzard,GAMING,True,False,https://www.activisionblizzard.com/content/atvi/activisionblizzard/ab-touchui/ab/web/en/about-us.html,https://twitter.com/atvi_ab?lang=en-GB,atvi_ab,"Country: US,CEO: Bobby Kotick,CFO: Armin Zerza,Website,Twitter"
Japan,Daisuke Uchiyama,,-,Bandai Namco,GAMING,False,True,https://www.bandainamco.co.jp/en/index.html,https://twitter.com/bandainamcous,bandainamcous,"Country: Japan,CEO: Daisuke Uchiyama,Website,Twitter"
US,Andrew Wilson,Blake Jorgensen,-,Electronic Arts,GAMING,True,False,https://www.ea.com/en-gb,https://twitter.com/EA?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,EA,"Country: US,CEO: Andrew Wilson,CFO: Blake Jorgensen,Website,Twitter"
Japan,Steve Sutherland,,-,Konami,GAMING,False,True,https://www.konami.com/en/,https://twitter.com/Konami?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Konami,"Country: Japan,CEO: Steve Sutherland,Website,Twitter"
US,,,CEO of Gaming: Phil Spencer,Microsoft Studios,GAMING,False,True,https://www.xbox.com/en-GB/xbox-game-studios,https://twitter.com/xbox,xbox,"Country: US,CEO of Gaming: Phil Spencer,Website,Twitter"
Japan,Shuntaro Furukawa,,-,Nintendo,GAMING,True,False,https://www.nintendo.co.uk/Corporate/Career/About-Nintendo/About-Nintendo-825979.html,https://twitter.com/Nintendo,Nintendo,"Country: Japan,CEO: Shuntaro Furukawa,Website,Twitter, "
US,Haruki Satomi,,-,SEGA,GAMING,False,True,https://www.sega.co.uk,https://twitter.com/SEGA?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,SEGA,"Country: US,CEO: Haruki Satomi,Website,Twitter"
US,Jim Ryan,,-,Sony Computer Entertainment,GAMING,True,False,https://www.sie.com/en/index.html,,,"Country: US,CEO: Jim Ryan,Website"
Japan,Yosuke Matsuda,,-,Square Enix,GAMING,False,True,https://www.square-enix.com,https://twitter.com/SquareEnix?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,SquareEnix,"Country: Japan,CEO: Yosuke Matsuda,Website,Twitter"
France,Yves Marie Remy Guillemot,Frédérick Duguet,-,Ubisoft,GAMING,True,False,https://www.ubisoft.com/en-us/company/about-us,https://twitter.com/Ubisoft?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Ubisoft,"Country: France,CEO: Yves Marie Remy Guillemot,CFO: Frédérick Duguet,Website,Twitter"
Germany,Stefan Hartung,Markus Forschner,-,Bosch,AUTOMOTIVE SECTOR,False,True,https://www.boschaftermarket.com/xc/en/,https://twitter.com/BoschGlobal,BoschGlobal,"Country: Germany,CEO: Stefan Hartung,CFO: Markus Forschner ,Website,Twitter"
Germany,Wolf-Henning Scheider,Dr. Konstantin Sauer,-,ZF,AUTOMOTIVE SECTOR,False,True,https://www.zf.com/mobile/en/homepage/homepage.html,https://twitter.com/ZF_Group?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,ZF_Group,"Country: Germany ,CEO: Wolf-Henning Scheider,CFO: Dr. Konstantin Sauer,Website,Twitter"
Germany,Jan Siekermann,,-,FEBI,AUTOMOTIVE SECTOR,False,True,https://www.febi.com/en/,https://twitter.com/febibilstein,febibilstein,"Country: Germany,CEO: Jan Siekermann,Website,Twitter"
Germany,Klaus Rosenfeld,Claus Bauer,-,SCHAEFFLER,AUTOMOTIVE SECTOR,False,True,https://www.schaeffler.com/en/index.jsp,https://twitter.com/SchaefflerGroup?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,SchaefflerGroup,"Country: Germany,CEO: Klaus Rosenfeld,CFO: Claus Bauer,Website,Twitter"
Germany,Kurk Wilks,Emese Weissenbacher,-,MANN FILTER,AUTOMOTIVE SECTOR,False,True,https://www.mann-filter.com/en.html,,,"Country: Germany,CEO: Kurk Wilks,CFO: Emese Weissenbacher,Website"
Germany,Matthias Arleth,Michael Frick,-,MAHLE,AUTOMOTIVE SECTOR,False,True,https://www.mahle.com,https://twitter.com/MAHLE_Group?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,MAHLE_Group,"Country: Germany,CEO: Matthias Arleth,CFO: Michael Frick,Website,Twitter, "
US,Brian Kesseler,Matti Masanovich,-,DRiV (FEDERAL MOGUL and TENNECO),AUTOMOTIVE SECTOR,False,True,https://www.driv.com,https://twitter.com/DRiV_Inc?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,DRiV_Inc,"Country: US,CEO: Brian Kesseler,CFO: Matti Masanovich,Website,Twitter"
Japan,Koji Arima,Yasushi Matsui,-,DENSO,AUTOMOTIVE SECTOR,False,True,https://www.denso.com/global/en/,https://twitter.com/densoeurope?lang=en,densoeurope,"Country: Japan,CEO: Koji Arima,CFO: Yasushi Matsui,Website,Twitter"
Japan,Masao Ono,Takaaki Kato,-,KYB,AUTOMOTIVE SECTOR,False,True,https://kyb-europe.com/about/,https://mobile.twitter.com/kybeurope/with_replies,kybeurope/with_replies,"Country: Japan,CEO: Masao Ono,CFO: Takaaki Kato,Website,Twitter"
Japan,Shinichi Odo,Kenji Isobe,-,NGK,AUTOMOTIVE SECTOR,True,False,https://www.ngkntk.com,,,"Country: Japan,CEO: Shinichi Odo,CFO: Kenji Isobe,Website"
The Netherlands,Carlos Tavares,Richard Palmer,-,Stellantis,AUTOMOTIVE SECTOR,True,False,https://www.stellantis.com/en,https://twitter.com/Stellantis?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Stellantis,"Country: The Netherlands,CEO: Carlos Tavares,CFO: Richard Palmer ,Website,Twitter"
South Korea,Jae Hoon Chang,,-,Hyundai Group,AUTOMOTIVE SECTOR,True,False,https://www.hyundai.com/worldwide/en/,https://twitter.com/hyundai_global?lang=en,hyundai_global,"Country: South Korea,CEO: Jae Hoon Chang,Website,Twitter"
Japan,Makoto Uchida,Stephen Ma,-,Nissan Group,AUTOMOTIVE SECTOR,False,True,https://www.nissan-global.com/EN/index.html,https://twitter.com/nissan,nissan,"Country: Japan,CEO: Makoto Uchida,CFO: Stephen Ma,Website,Twitter"
Japan,Akio Toyoda,Kenta Kon,-,Toyota Group,AUTOMOTIVE SECTOR,False,True,https://global.toyota/en/,https://twitter.com/toyotamotorcorp,toyotamotorcorp,"Country: Japan,CEO: Akio Toyoda,CFO: Kenta Kon,Website,Twitter"
Germany,Oliver Blume,Lutz Meschke,-,Porsche,AUTOMOTIVE SECTOR,False,True,https://www.porsche.com/international/aboutporsche/,https://twitter.com/porsche,porsche,"Country: Germany,CEO: Oliver Blume,CFO: Lutz Meschke,Website,Twitter"
France,Luca de Meo,Thierry Piéton,-,Renault,AUTOMOTIVE SECTOR,False,True,https://www.renaultgroup.com/en/,https://twitter.com/renaultgroup?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,renaultgroup,"Country: France,CEO: Luca de Meo,CFO: Thierry Piéton,Website,Twitter"
Germany,Herbert Diess,Arno Antlitz,-,Volkswagen Group,AUTOMOTIVE SECTOR,True,False,https://www.volkswagen.co.uk/en.html,https://twitter.com/vwgroup,vwgroup,"Country: Germany,CEO: Herbert Diess,CFO: Arno Antlitz,Website,Twitter"
Germany,Oliver Zipse,Nicolas Peter,-,BMW Group,AUTOMOTIVE SECTOR,True,False,https://www.bmwgroup.com/en.html,https://twitter.com/BMWGroup?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,BMWGroup,"Country: Germany,CEO: Oliver Zipse,CFO: Nicolas Peter,Website,Twitter"
US,James D. Farley Jr,John Lawler,-,Ford Group,AUTOMOTIVE SECTOR,True,False,https://corporate.ford.com,https://twitter.com/ford,ford,"Country: US,CEO: James D. Farley Jr,CFO: John Lawler,Website,Twitter"
Germany,Ola Källenius,Harald Wilhelm,-,Mercedes,AUTOMOTIVE SECTOR,True,False,https://www.mercedes-benz.com/en/,https://twitter.com/mercedesbenz,mercedesbenz,"Country: Germany,CEO: Ola Källenius ,CFO: Harald Wilhelm,Website,Twitter"
Germany,Martin Brudermüller,Hans-Ulrich Engel,-,BASF,CHEMICAL SECTOR,False,True,https://www.basf.com/gb/en.html,https://twitter.com/BASF,BASF,"Country: Germany,CEO: Martin Brudermüller ,CFO: Hans-Ulrich Engel ,Website,Twitter"
UK,Jim Ratcliffe,John Reece,-,Ineos,CHEMICAL SECTOR,False,True,https://www.ineos.com,https://twitter.com/ineos?lang=en,ineos,"Country: UK,CEO: Jim Ratcliffe ,CFO: John Reece ,Website,Twitter"
US,Edward Breen,Lori Koch,-,DuPont,CHEMICAL SECTOR,True,False,https://www.dupont.com,https://twitter.com/DuPont_News?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,DuPont_News,"Country: US,CEO: Edward Breen ,CFO: Lori Koch ,Website,Twitter"
South Korea,Hak-Cheol Shin,Dong Seok Cha,-,LG Chem,CHEMICAL SECTOR,False,True,https://www.lgchem.com/main/index,,,"Country: South Korea,CEO: Hak-Cheol Shin ,CFO: Dong Seok Cha ,Website"
Japan,Jean-Marc Gilson,Hidegumi Date,-,Mitsubishi Chemical,CHEMICAL SECTOR,False,True,https://www.m-chemical.co.jp/en/index.html,,,"Country: Japan,CEO: Jean-Marc Gilson ,CFO: Hidegumi Date ,Website"
Saudi Arabia,Yousef Al-Benyan,Timothy Leveille,-,Sabic,CHEMICAL SECTOR,False,True,https://www.sabic.com/en,https://twitter.com/sabic?lang=en,sabic,"Country: Saudi Arabia,CEO: Yousef Al-Benyan ,CFO: Timothy Leveille ,Website,Twitter"
Saudi Arabia,Amin Hassan Nasser,Ziad al-Murshed,-,Aramco,CHEMICAL SECTOR,False,True,https://www.aramco.com,https://twitter.com/aramco?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,aramco,"Country: Saudi Arabia ,CEO: Amin Hassan Nasser,CFO: Ziad al-Murshed,Website,Twitter"
The Netherlands,,Michael McMurray,Interim CEO: Kenneth (Ken) Lane,LyondellBasell Industries,CHEMICAL SECTOR,False,True,https://www.lyondellbasell.com,https://twitter.com/LyondellBasell?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,LyondellBasell,"Country: The Netherlands,Interim CEO: Kenneth (Ken) Lane,CFO: Michael McMurray ,Website,Twitter"
Germany,Steve Angel,Matt White,-,Linde,CHEMICAL SECTOR,False,True,https://www.linde.com,https://twitter.com/Lindeplc?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Lindeplc,"Country: Germany,CEO: Steve Angel ,CFO: Matt White ,Website,Twitter"
